Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Stage Fright","Center Stage Boulder > Prospect Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115406370/stage-fright,3.6,-1,Boulder,V9,1,,47.63872,-121.37769
"Steam Roller Stand Project","Steam Roller Cave > The Crown Cluster > Whiteface Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119645472/steam-roller-stand-project,3.0,-1,Boulder,V9-10,1,,47.76095,-121.12897
"Sticky Fingers","Wolverine > Semantics Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119917107/sticky-fingers,2.0,-1,Boulder,V9,1,,47.76108,-121.1288
"Stolen Valor","Uncommon Valor > Semantics Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119917244/stolen-valor,3.0,-1,Boulder,V9,1,,47.76142,-121.12884
"Street Justice Right","Street Justice Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117100093/street-justice-right,3.9,-1,Boulder,V9,1,10,47.54419,-120.73375
Superman,"Hanta Man Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107652451/superman,3.7,-1,Boulder,V9,1,,47.54254,-120.72259
"The Coffee Cup","Coffee Cup Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107275448/the-coffee-cup,3.8,-1,Boulder,V9,1,10,47.54575,-120.7329
"The Conjuring","Conjuring Boulder > Main Area > Lost Ledge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/119431421/the-conjuring,3.9,-1,Boulder,V9,1,,48.6585,-122.46111
"The Cotton Pony Dyno","The Cotton Pony > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119895801/the-cotton-pony-dyno,2.7,-1,Boulder,V9,1,10,47.54658,-120.74937
"The Cotton Pony Pointer","The Cotton Pony > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119910572/the-cotton-pony-pointer,3.0,-1,Boulder,V9,1,10,47.54658,-120.74937
"The Dugout","Dugout Cave > Mt. Washington Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/126164761/the-dugout,4.0,-1,Boulder,V8-9,1,15,47.44185,-121.6727
"The Face of Despair","Sad Face Boulder > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123134157/the-face-of-despair,3.0,-1,Boulder,V9,1,25,47.22502,-120.9846
"the impressionist","Watercolor Wall > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/110669428/the-impressionist,3.0,-1,Boulder,V9,1,15,47.54186,-120.72751
"The Mothermilker","The Swiss Project Boulder > Icicle Buttress Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119793848/the-mothermilker,3.3,-1,Boulder,V9-,1,10,47.54658,-120.74992
"The Popsicle","Fremont > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122766485/the-popsicle,4.0,-1,Boulder,V9,1,,47.64907,-122.34705
"The Prism","Hourglass Boulder > The Sword/Underwear Rock > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107113951/the-prism,3.9,-1,Boulder,V9,1,15,47.57018,-120.78803
"The Prowler","Wolverine > Semantics Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119917159/the-prowler,3.8,-1,Boulder,V9,1,,47.76108,-121.1288
